applylink,bankname,baseUrl,category,image,location,offerdetails,offerlink,offertitle,shopname,tnc,validity
,Dubai Islamic Bank,https://www.dib.ae/offers/card-offers?sub-category=all&search=all&category=all&city=all&offer-start=any&offer-end=any&count=19,Dining,https://www.dib.ae/images/default-source/offers/dinig/270x151-chilis.jpg?sfvrsn=dff84a32_4,,,https://www.dib.ae/offers/offer-detail/chili's,Get a taste of America with dishes the whole family will love at Chili's via the App xperience with the ENTERTAINER and your DIB Visa Card.,Chili's,,Valid till 31 January 2023
,Dubai Islamic Bank,https://www.dib.ae/offers/card-offers?sub-category=all&search=all&category=all&city=all&offer-start=any&offer-end=any&count=19,Dining,https://www.dib.ae/images/default-source/offers/dinig/jones-270x151.jpg?sfvrsn=a8e9d2ed_4,,,https://www.dib.ae/offers/offer-detail/jones-the-grocer,Indulge in delicious artisan creations via xperience with the ENTERTAINER App.,Jones the grocer,,Valid till 31 January 2023
,Dubai Islamic Bank,https://www.dib.ae/offers/card-offers?sub-category=all&search=all&category=all&city=all&offer-start=any&offer-end=any&count=19,Dining,https://www.dib.ae/images/default-source/offers/dinig/little-270x151.jpg?sfvrsn=cf30ed69_4,,,https://www.dib.ae/offers/offer-detail/little-bangkok,Take your tastebuds on a trip to Thailand.,Little Bangkok,,Valid till 31 January 2023
,Dubai Islamic Bank,https://www.dib.ae/offers/card-offers?sub-category=all&search=all&category=all&city=all&offer-start=any&offer-end=any&count=19,Dining,https://www.dib.ae/images/default-source/offers/dinig/tony-270x151.jpg?sfvrsn=21c40228_4,,,https://www.dib.ae/offers/offer-detail/tony-romas,Craving a succulent steak? Look no further!,Tony Roma's,,Valid till 31 January 2023
,Dubai Islamic Bank,https://www.dib.ae/offers/card-offers?sub-category=all&search=all&category=all&city=all&offer-start=any&offer-end=any&count=19,Dining,https://www.dib.ae/images/default-source/offers/dinig/caffe-di-270x151.jpg?sfvrsn=ad2d680d_4,,,https://www.dib.ae/offers/offer-detail/il-caffe-di-roma,Relish finest Italian delicacies at Il Caffè Di Roma. Get 2 for 1 offers using xperience with the ENTERTAINER App.,Il Caffè Di Roma,,Valid till 31 January 2023
,Dubai Islamic Bank,https://www.dib.ae/offers/card-offers?sub-category=all&search=all&category=all&city=all&offer-start=any&offer-end=any&count=19,Dining,https://www.dib.ae/images/default-source/offers/dinig/burger-fuel---270x151.jpg?sfvrsn=a5cd209_4,,,https://www.dib.ae/offers/offer-detail/burger-fuel,Fuel up with a buy one get one free offer at Burger Fuel via the App xperience with the ENTERTAINER and your DIB Visa Card.,Burger Fuel,,Valid till 31 January 2023
,Commercial Bank International,https://www.combank.lk/rewards-promotions,Other Offers,background-image: url('https://s3.ap-southeast-1.amazonaws.com/static.combank.cloud/photos/shares/Offers/Thumb%20Images/2023/epp-insurance-web-thumb-2023.jpg'),,"Offer valid only during the promotion period mentioned as per the artwork.Once requested for Easy Payment Plans, the details cannot be changed and is not allowed.This promotional offer is applicable for Insurance payments only.Only the full transaction value can be converted to Easy Payment Plan under the promotion, no partial payments are possible.- 06 Months – 6%Commercial Bank of Ceylon PLC reserve the right to change and/or modify all or any of the rules, terms and conditions applicable to this promotion at any given time with or  without prior notice to the Cardholders.This offer is bound by the terms and conditions of the partnering merchant and Commercial Bank of Ceylon PLC.Only the transaction above Rs. 20,000/- will be eligible for the Payment Plan Scheme.Commission will be charged for the transaction value as follow.Commercial Bank of Ceylon PLC - Card Centre accepts no liability for the quality of the services provided by the offer partners in this promotion.The General Credit Card terms and conditions will continue to apply.Credit Cardholders may perform single or multiple purchase(s) at the mentioned and request for Easy Payment Plan of 06 (Six) & 12 (Twelve) months by calling the ComBank Contact Centre on (0112) 353353.If any dispute arises regarding the payment with Insurance Company or any of the terms & conditions, Cardholder should settle same directly with the Insurance Company.All Insurance payments to be settled with the Commercial Bank Credit Cards only.Once requested for converting to an Easy Payment Plan, the scheme cannot be changed and instalments settled under the scheme are non-refundable.- 12 Months – 9.5%In order to establish under the ‘Call & Convert’ scheme, Cardholder should inform the Contact Centre within 7 working days from the original transaction performing date.Cardholder may request to provide the details of the Insurance Company, date of the transaction and the transaction value to verify details.Transaction value should be within the available balance and authorized Credit limit of the Card at the time of performing the transaction.The promotion is open for all Credit Cards issued by Commercial Bank of Ceylon PLC.This offer cannot be exchanged for cash or used in conjunction with other promotional programs or offers conducted by the Bank or the offer partner.",http://www.combank.lk/rewards-promotion/other-offers/pay-your-insurance-premiums-with-combank-credit-cards,,Pay your insurance premiums with ComBank Credit Cards,,Offer valid till 31st March 2023
,Dubai Islamic Bank,https://www.dib.ae/offers/card-offers?sub-category=all&search=all&category=all&city=all&offer-start=any&offer-end=any&count=19,Dining,https://www.dib.ae/images/default-source/offers/dinig/haagen-270x151.jpg?sfvrsn=fa93ec9e_4,,,https://www.dib.ae/offers/offer-detail/häagen-dazs,Enjoy 2-for-1 at Häagen-Dazs with the xperience with the ENTERTAINER App.,Häagen-Dazs,,Valid till 31 January 2023
,Dubai Islamic Bank,https://www.dib.ae/offers/card-offers?sub-category=all&search=all&category=all&city=all&offer-start=any&offer-end=any&count=19,Dining,https://www.dib.ae/images/default-source/offers/dinig/nandos-270x151.jpg?sfvrsn=256fa39c_4,,,https://www.dib.ae/offers/offer-detail/nandos,Enjoy a satisfying mid-week treat and 2 for 1 offers via xperience with the ENTERTAINER App.,Nando's,,Valid till 31 January 2023
,Dubai Islamic Bank,https://www.dib.ae/offers/card-offers?sub-category=all&search=all&category=all&city=all&offer-start=any&offer-end=any&count=19,Dining,https://www.dib.ae/images/default-source/offers/dinig/masti---270x151.jpg?sfvrsn=5541a9cb_4,,,https://www.dib.ae/offers/offer-detail/masti-restaurant,Indulge in Indian inspired cuisine with buy one get one free offers via the App xperience with the ENTERTAINER and your DIB Visa Card.,Masti Restaurant,,Valid till 31 January 2023
,Commercial Bank International,https://www.combank.lk/rewards-promotions,Other Offers,background-image: url('https://s3.ap-southeast-1.amazonaws.com/static.combank.cloud/photos/shares/Offers/Thumb%20Images/2023/Talkative-Parent-web-jan-thumb-2023.jpg'),,"The General Credit Card terms and conditions will continue to apply.Cardholder may request to provide the details of the Merchant establishment, date of the transaction and the transaction value to verify detailsIn order to establish under the ‘Call & Convert’ scheme, Cardholder should inform the Contact Centre within 7 working days from the original transaction performing date.This offer is bound by the terms and conditions of the partnering merchant and Commercial Bank of Ceylon PLC.Only the full transaction value can be converted to Easy Payment Plan under the promotion, no partial payments are possibleCommercial Bank of Ceylon PLC reserve the right to change and/or modify all or any of the rules, terms and conditions applicable to this promotion at any given time with or  without prior notice to the Cardholders.Commercial Bank of Ceylon PLC - Card Centre accepts no liability for the quality of goods or services provided by the offer partners in this promotion.The promotion is open for all Credit Cards issued by Commercial Bank of Ceylon PLC.Commission will be charged for the transaction value as follow,Transaction value should be within the available balance and authorized Credit limit of the Card at the time of performing the transaction.This offer cannot be exchanged for cash or used in conjunction with other promotional programs or offers conducted by the Bank or the offer partner.If any dispute arises regarding any of the terms & conditions contained herein, the decision of the respective Business establishment and Commercial Bank of Ceylon PLC shall be final.Offer valid only during the promotion period mentioned in the artwork.Credit Cardholders may perform single or multiple purchase(s) at the mentioned merchant establishment and request for Easy Payment Plan of 06 months by calling the ComBank Contact Centre on (0112) 353353.-06 Months – 5.5%Once requested for converting to a Easy Payment Plan, the scheme cannot be changed and instalments settled under the scheme are non-refundable.",http://www.combank.lk/rewards-promotion/other-offers/brighten-up-your-childs-future-with-combank-credit-cards,,Brighten up your child’s future with ComBank Credit Cards,,Offer valid till 30th April 2023
,Dubai Islamic Bank,https://www.dib.ae/offers/card-offers?sub-category=all&search=all&category=all&city=all&offer-start=any&offer-end=any&count=19,Dining,https://www.dib.ae/images/default-source/offers/dinig/270x151-kcal.jpg?sfvrsn=2b691ca_4,,,https://www.dib.ae/offers/offer-detail/kcal,Stay fit and healthy with calorie conscious dishese at Kcal with buy one get one free offers via the App xperience with the ENTERTAINER and your DIB Visa Card.,Kcal,,Valid till 31 January 2023
,Commercial Bank International,https://www.combank.lk/rewards-promotions,Other Offers,background-image: url('https://s3.ap-southeast-1.amazonaws.com/static.combank.cloud/photos/shares/Offers/Thumb%20Images/2021/May/Easy-Payment-Plans-web-july-2021-revamp-thumb.jpg'),,"The General Credit Card Terms and Conditions will continue to apply.The Easy Payment Plan Schemes are bound by the Terms and Conditions of the partnering Merchants and Commercial Bank of Ceylon PLC.Commercial Bank of Ceylon PLC - Card Centre accepts no liability for the quality of goods or services provided by the listed partners and availability of the Easy Payment Plan Schemes due to current market situation.Commercial Bank of Ceylon PLC reserves the right to change, update, remove and/or modify partner list and any Terms and Conditions applicable under the Easy Payment Plan Schemes at any given time with or without prior notice to the Cardholders.Offer valid for Sri Lankans and Expatriates only.All payments to be settled with the Commercial Bank Credit Cards only.If any dispute arises regarding any of the terms & conditions contained herein, the decision of the Commercial Bank of Ceylon PLC - Card Centre shall be final.ComBank Credit Cardholders are advised to contact the Merchant partners and verify the ComBank Easy Payment Plan Scheme details, it’s availability and Terms and Conditions before visiting the stores.The Easy Payment Plan Scheme is opened for all Credit Cards issued by Commercial Bank of Ceylon PLC.Listed Merchants are registered as Easy Payment Plan Merchant partners of Commercial Bank Card Centre.",http://www.combank.lk/rewards-promotion/other-offers/use-your-combank-credit-card-and-shop-with-easy-payment-plans-at-over-3500-partner-outlets,,"Use your ComBank Credit Card and shop with Easy Payment Plans at over 3,500 partner outlets",,Promotion valid till 31st December 2023
,Dubai Islamic Bank,https://www.dib.ae/offers/card-offers?sub-category=all&search=all&category=all&city=all&offer-start=any&offer-end=any&count=19,Dining,https://www.dib.ae/images/default-source/offers/dinig/generic-270-x-151.jpg?sfvrsn=22667214_4,,,https://www.dib.ae/offers/offer-detail/chickitoz,15% off on Total Bill,Chickitoz,,Valid till 31 December 2023
,Commercial Bank International,https://www.combank.lk/rewards-promotions,Other Offers,background-image: url('https://s3.ap-southeast-1.amazonaws.com/static.combank.cloud/photos/shares/Offers/Thumb%20Images/2023/eppslar-web-thumb-2023.jpg'),,"Only the full transaction value can be converted to Easy Payment Plan under the promotion, no partial payments are possibleCredit Cardholders may perform single or multiple purchase(s) at the mentioned and request for Easy Payment Plan of 12, 18, 24, 36 months by calling the ComBank Contact Centre on (0112) 353353In order to establish under the ‘Call & Convert’ scheme, Cardholder should inform the Contact Centre within 7 working days from the original transaction performing date.Only the transaction above Rs. 100,000/- will be eligible for the Payment Plan SchemeOnce requested for Easy Payment Plans, the details cannot be changed and is not allowed.Cardholder may request to provide the details of the Solar merchant, date of the transaction and the transaction value to verify details- 18 Months - 17%This offer is bound by the terms and conditions of the partnering merchant and Commercial Bank of Ceylon PLC.Commercial Bank of Ceylon PLC reserve the right to change and/or modify all or any of the rules, terms and conditions applicable to this promotion at any given time with or  without prior notice to the Cardholders.Commission will be charged for the transaction value as follow.- 12 Months- 13.5%The General Credit Card terms and conditions will continue to apply.All Solar payments to be settled with the Commercial Bank Credit Cards onlyThis promotional offer is applicable for purchase of Solar Systems only.The promotion is open for all Credit Cards issued by Commercial Bank of Ceylon PLCIf any dispute arises regarding the payment with any solar merchant or any of the terms & conditions, Cardholder should settle same directly with the solar merchant.- 36 Months – 29%Once requested for converting to an Easy Payment Plan, the scheme cannot be changed and instalments settled under the scheme are non-refundable.Offer valid only during the promotion period mentioned as per the artworkTransaction value should be within the available balance and authorized Credit limit of the Card at the time of performing the transaction.- 24 Months – 22%Commercial Bank of Ceylon PLC - Card Centre accepts no liability for the quality of the services provided by the offer partners in this promotion.This offer cannot be exchanged for cash or used in conjunction with other promotional programs or offers conducted by the Bank or the offer partner.",http://www.combank.lk/rewards-promotion/other-offers/go-solar-and-go-green-with-combank-credit-cards,,Go solar and go green with ComBank Credit Cards,,Offer valid till 31st March 2023
,Dubai Islamic Bank,https://www.dib.ae/offers/card-offers?sub-category=all&search=all&category=all&city=all&offer-start=any&offer-end=any&count=19,Dining,https://www.dib.ae/images/default-source/offers/dinig/karachi.png?sfvrsn=a63ea6d9_4,,,https://www.dib.ae/offers/offer-detail/karachi-city,15% off on Total Bill,Karachi City,,Valid till 31 December 2023
,Dubai Islamic Bank,https://www.dib.ae/offers/card-offers?sub-category=all&search=all&category=all&city=all&offer-start=any&offer-end=any&count=19,Dining,https://www.dib.ae/images/default-source/offers/dinig/generic-270-x-151.jpg?sfvrsn=22667214_4,,,https://www.dib.ae/offers/offer-detail/tea-bae-cafe,15% off on Total Bill,Tea Bae Cafe,,Valid till 31 December 2023
,Commercial Bank International,https://www.combank.lk/rewards-promotions,Other Offers,background-image: url('https://s3.ap-southeast-1.amazonaws.com/static.combank.cloud/photos/shares/Offers/Thumb%20Images/2023/My-Fees-web-thumb-jan-2023.jpg'),,"Premier Partners Institute of Management.Edulink Insternational Campus.Next Campus.Polymath Campus.Northshore International Campus.Credit Cardholders may perform single or multiple purchase(s) at the mentioned merchant establishment and request for Easy Payment Plan of 06 months or 12 months by calling the ComBank Contact Centre on (0112) 353353.The General Credit Card terms and conditions will continue to apply.Australian College of Training and Hospitality.Commercial Bank of Ceylon PLC reserve the right to change and/or modify all or any of the rules, terms and conditions applicable to this promotion at any given time with or  without prior notice to the Cardholders.Royal Institute International School.Wycherley International School.This offer cannot be exchanged for cash or used in conjunction with other promotional programs or offers conducted by the Bank or the offer partner.Asia Pacific Institute of Information Technology.Colombo School of Business Management.Achievers.Leeds International School.Business Management School .Informatics Institute of Technology.Only the full transaction value can be converted to Easy Payment Plan under the promotion, no partial payments are possibleImperial College of Business Studies.Miami Ad School.Pioneer Institue of Business and Technology.Stafford International School.The promotion is open for all Credit Cards issued by Commercial Bank of Ceylon PLC.American College of Higher Education.Royal Institute Colombo.Once requested for converting to a Easy Payment Plan, the scheme cannot be changed and instalments settled under the scheme are non-refundable.FLITS Vocational Training.Lanka Nippon Biztech Institute.Cardholder may request to provide the details of the Merchant establishment, date of the transaction and the transaction value to verify detailsAmerican National College.Metropolitan Campus.If any dispute arises regarding any of the terms & conditions contained herein, the decision of the respective Business establishment and Commercial Bank of Ceylon PLC shall be final.Offer valid only during the promotion period mentioned in the artwork.British College of Applied Studies.Academy of Finance.Academy Of Design.International Higher Education Campus.Global Technology Campus.Open Arc Campus.Amal International School.In order to establish under the ‘Call & Convert’ scheme, Cardholder should inform the Contact Centre within 7 working days from the original transaction performing date.Britsh Institute of Engineering and Technology.This offer is bound by the terms and conditions of the partnering merchant and Commercial Bank of Ceylon PLC.Kensly Graduate School.International Medical Campus.Transaction value should be within the available balance and authorized Credit limit of the Card at the time of performing the transaction.Nawaloka College of Higher Education.Elizabeth Moir International School.Commercial Bank of Ceylon PLC - Card Centre accepts no liability for the quality of goods or services provided by the offer partners in this promotion.AIA Holdings.Cinec Campus.",http://www.combank.lk/rewards-promotion/other-offers/pay-your-educational-fees-via-myfeeslk-with-combank-credit-cards,,Pay your educational fees via myfees.lk with ComBank Credit Cards,,Offer valid till 30th April 2023
,Dubai Islamic Bank,https://www.dib.ae/offers/card-offers?sub-category=all&search=all&category=all&city=all&offer-start=any&offer-end=any&count=19,Dining,https://www.dib.ae/images/default-source/offers/dinig/the-lobby-lounge.png?sfvrsn=d40147cb_4,,,https://www.dib.ae/offers/offer-detail/the-lobby-lounge,15% off on Total Bill,The Lobby Lounge,,Valid till 31 December 2023
,Commercial Bank International,https://www.combank.lk/rewards-promotions,Travel,background-image: url('https://s3.ap-southeast-1.amazonaws.com/static.combank.cloud/photos/shares/Offers/Thumb%20Images/2023/emirates-thumb-web-jan-2023.jpg'),,"The General Credit Card terms and conditions will continue to apply.Travel Period – 03rd to 08th March 2023.Offer valid for Sri Lankans and Expatriates only.This offer is bound by the terms and conditions of the partnering merchant and Commercial Bank of Ceylon PLC.Commercial Bank of Ceylon PLC reserve the right to change and/or modify all or any of the rules, terms and conditions applicable to this promotion at any given time with or  without prior notice to the Cardholders.All payments to be settled with the Commercial Bank Credit Cards only.If any dispute arises regarding any of the terms & conditions contained herein, the decision of the Commercial Bank of Ceylon PLC - Card Centre shall be final.Commercial Bank of Ceylon PLC - Card Centre accepts no liability for the quality of goods or services provided by the offer partners in this promotion.The promotion is open for all Credit Cards issued by Commercial Bank of Ceylon PLC.Offer – Easy Payment Plans available up to 24 months for Credit Cards.This offer cannot be exchanged for cash or used in conjunction with other promotional programs or offers conducted by the Bank or the offer partner.Offer valid till 28th February 2023.Call : 077 4 315 829 / 011 2 499 588",http://www.combank.lk/rewards-promotion/travel/visit-your-dream-destination-with-emirates-holidays-with-combank-credit-cards,,Visit your dream destination with Emirates Holidays with ComBank Credit Cards,,Offer valid till 28th February 2023
,Dubai Islamic Bank,https://www.dib.ae/offers/card-offers?sub-category=all&search=all&category=all&city=all&offer-start=any&offer-end=any&count=19,Dining,https://www.dib.ae/images/default-source/offers/dinig/generic-270-x-151.jpg?sfvrsn=22667214_4,,,https://www.dib.ae/offers/offer-detail/freddys-fortune-plaza-hotel,10% off on Total Bill,Freddy's - Fortune Plaza Hotel,,Valid till 31 December 2023
,Dubai Islamic Bank,https://www.dib.ae/offers/card-offers?sub-category=all&search=all&category=all&city=all&offer-start=any&offer-end=any&count=19,Dining,https://www.dib.ae/images/default-source/offers/dinig/generic-270-x-151.jpg?sfvrsn=22667214_4,,,https://www.dib.ae/offers/offer-detail/24th-st-world-street-food-dubai,15% off on Total Bill,24th St. World Street Food Dubai,,Valid till 31 December 2023
,Dubai Islamic Bank,https://www.dib.ae/offers/card-offers?sub-category=all&search=all&category=all&city=all&offer-start=any&offer-end=any&count=19,Dining,https://www.dib.ae/images/default-source/offers/dinig/fortune-cafe.png?sfvrsn=96176f16_4,,,https://www.dib.ae/offers/offer-detail/fortune-cafe-fortune-park-hotel,15% off on Total Bill,Fortune Cafe - Fortune Park Hotel,,Valid till 31 December 2023
,Commercial Bank International,https://www.combank.lk/rewards-promotions,Other Offers,background-image: url('https://s3.ap-southeast-1.amazonaws.com/static.combank.cloud/photos/shares/Offers/Thumb%20Images/2023/delko-thumb-web-jan-2023.jpg'),,"The General Credit Card terms and conditions will continue to apply.Visit – Showroom &Offer valid for ComBank Credit Cards.Easy Payment Plans available upto 18 months for Credit Cards.Call – 0770058058 / 0771216432Offer valid for Sri Lankans and Expatriates only.This offer is bound by the terms and conditions of the partnering merchant and Commercial Bank of Ceylon PLC.Commercial Bank of Ceylon PLC reserve the right to change and/or modify all or any of the rules, terms and conditions applicable to this promotion at any given time with or  without prior notice to the Cardholders.All payments to be settled with the Commercial Bank Credit Cards only.If any dispute arises regarding any of the terms & conditions contained herein, the decision of the Commercial Bank of Ceylon PLC - Card Centre shall be final.Offer valid till 15th March 2023.The promotion is open for all Credit Cards issued by Commercial Bank of Ceylon PLC.This offer cannot be exchanged for cash or used in conjunction with other promotional programs or offers conducted by the Bank or the offer partner.Commercial Bank of Ceylon PLC - Card Centre accepts no liability for the quality of goods or services provided by the offer partners in this promotion.",http://www.combank.lk/rewards-promotion/other-offers/upgrade-your-home-to-solar-energy-and-save-your-energy-costs-with-combank-credit-cards,,Upgrade your home to solar energy and save your energy costs with ComBank Credit Cards,,Offer valid till 15th March 2023
,Dubai Islamic Bank,https://www.dib.ae/offers/card-offers?sub-category=all&search=all&category=all&city=all&offer-start=any&offer-end=any&count=19,Dining,https://www.dib.ae/images/default-source/offers/dinig/pan-asian.png?sfvrsn=5ba0645_4,,,https://www.dib.ae/offers/offer-detail/pan-asian-cuisine,15% off on Total Bill,Pan Asian Cuisine,,Valid till 31 December 2023
,Dubai Islamic Bank,https://www.dib.ae/offers/card-offers?sub-category=all&search=all&category=all&city=all&offer-start=any&offer-end=any&count=19,Dining,https://www.dib.ae/images/default-source/offers/dinig/generic-270-x-151.jpg?sfvrsn=22667214_4,,,https://www.dib.ae/offers/offer-detail/kismath-karak-cafe,15% off on Total Bill,Kismath Karak cafe,,Valid till 31 December 2023
,Dubai Islamic Bank,https://www.dib.ae/offers/card-offers?sub-category=all&search=all&category=all&city=all&offer-start=any&offer-end=any&count=19,Dining,https://www.dib.ae/images/default-source/offers/dinig/generic-270-x-151.jpg?sfvrsn=22667214_4,,,https://www.dib.ae/offers/offer-detail/olabi-coffee-dubai,15% off on Total Bill,Olabi Coffee,,Valid till 31 December 2023
,Dubai Islamic Bank,https://www.dib.ae/offers/card-offers?sub-category=all&search=all&category=all&city=all&offer-start=any&offer-end=any&count=19,Dining,https://www.dib.ae/images/default-source/offers/dinig/generic-270-x-151.jpg?sfvrsn=22667214_4,,,https://www.dib.ae/offers/offer-detail/freddys-fortune-atrium-hotel,10% off on Total Bill,Freddy's - Fortune Atrium Hotel,,Valid till 31 December 2023
,Dubai Islamic Bank,https://www.dib.ae/offers/card-offers?sub-category=all&search=all&category=all&city=all&offer-start=any&offer-end=any&count=19,Dining,https://www.dib.ae/images/default-source/offers/dinig/generic-270-x-151.jpg?sfvrsn=22667214_4,,,https://www.dib.ae/offers/offer-detail/benjarong,15% off on Total Bill,Benjarong,,Valid till 31 December 2023
,Dubai Islamic Bank,https://www.dib.ae/offers/card-offers?sub-category=all&search=all&category=all&city=all&offer-start=any&offer-end=any&count=19,Dining,https://www.dib.ae/images/default-source/offers/dinig/tandoori-junction.png?sfvrsn=912da5f2_4,,,https://www.dib.ae/offers/offer-detail/tandoori-junction,20% off on Total Bill,Tandoori Junction,,Valid till 31 December 2023
,Bank Al Falah Limited,https://www.bankalfalah.com/personal-banking/cards/privileges-discounts/discounts,Dining,https://www.bankalfalah.com/wp-content/uploads/2018/10/007Beach-Luxury-min-1.png,Karachi,,,,007 ( Lunch Buffet) – Beach Luxury,,
,Dubai Islamic Bank,https://www.dib.ae/offers/card-offers?sub-category=all&search=all&category=all&city=all&offer-start=any&offer-end=any&count=19,Dining,https://www.dib.ae/images/default-source/offers/dinig/little-italy.png?sfvrsn=e7cd1e04_4,,,https://www.dib.ae/offers/offer-detail/little-italy,10% off on Total Bill,Little Italy,,Valid till 31 December 2023
,Bank Al Falah Limited,https://www.bankalfalah.com/personal-banking/cards/privileges-discounts/discounts,Dining,https://www.bankalfalah.com/personal-banking/cards/privileges-discounts/discounts,Jhelum,,,,2nd Wife Restaurant,,
,Dubai Islamic Bank,https://www.dib.ae/offers/card-offers?sub-category=all&search=all&category=all&city=all&offer-start=any&offer-end=any&count=19,Dining,https://www.dib.ae/images/default-source/offers/dinig/generic-270-x-151.jpg?sfvrsn=22667214_4,,,https://www.dib.ae/offers/offer-detail/mazedaar-biryani-restaurant,20% off on Total Bill,Mazedaar Biryani Restaurant,,Valid till 31 December 2023
,Bank Al Falah Limited,https://www.bankalfalah.com/personal-banking/cards/privileges-discounts/discounts,Dining,https://www.bankalfalah.com/wp-content/uploads/2018/10/hospitality-inn-.jpg,Lahore,,,,4 Points by Sheraton Lahore (Hi tea),,
,Dubai Islamic Bank,https://www.dib.ae/offers/card-offers?sub-category=all&search=all&category=all&city=all&offer-start=any&offer-end=any&count=19,Dining,https://www.dib.ae/images/default-source/offers/dinig/generic-270-x-151.jpg?sfvrsn=22667214_4,,,https://www.dib.ae/offers/offer-detail/c-house-milano-cafe-restaurant,15% off on Total Bill,C House Milano Cafe & Restaurant,,Valid till 31 December 2023
,Bank Al Falah Limited,https://www.bankalfalah.com/personal-banking/cards/privileges-discounts/discounts,Fashion,https://www.bankalfalah.com/wp-content/uploads/2018/10/Accessorize-min-1.jpg,"Lahore, Karachi, Islamabad",,,,Accessorize,,
,Dubai Islamic Bank,https://www.dib.ae/offers/card-offers?sub-category=all&search=all&category=all&city=all&offer-start=any&offer-end=any&count=19,Dining,https://www.dib.ae/images/default-source/offers/dinig/generic-270-x-151.jpg?sfvrsn=22667214_4,,,https://www.dib.ae/offers/offer-detail/al-abdallah-restro,15% off on Total Bill,Al Abdallah Restro,,Valid till 31 December 2023
,Bank Al Falah Limited,https://www.bankalfalah.com/personal-banking/cards/privileges-discounts/discounts,Health,https://www.bankalfalah.com/personal-banking/cards/privileges-discounts/discounts,"Islamabad, Rawalpindi",,,,Advanced Diagnostic Centre,,
,Dubai Islamic Bank,https://www.dib.ae/offers/card-offers?sub-category=all&search=all&category=all&city=all&offer-start=any&offer-end=any&count=19,Dining,https://www.dib.ae/images/default-source/offers/dinig/great-wok.png?sfvrsn=2b993140_4,,,https://www.dib.ae/offers/offer-detail/great-wok,20% off on Total Bill,Great Wok,,Valid till 31 December 2023
,Bank Al Falah Limited,https://www.bankalfalah.com/personal-banking/cards/privileges-discounts/discounts,Health,https://www.bankalfalah.com/personal-banking/cards/privileges-discounts/discounts,Sargodha,,,,Advanced Diagnostic Centre,,
,Dubai Islamic Bank,https://www.dib.ae/offers/card-offers?sub-category=all&search=all&category=all&city=all&offer-start=any&offer-end=any&count=19,Dining,https://www.dib.ae/images/default-source/offers/dinig/generic-270-x-151.jpg?sfvrsn=22667214_4,,,https://www.dib.ae/offers/offer-detail/freddys-fortune-hotel-deira,10% off on Total Bill,Freddy's - Fortune Hotel Deira,,Valid till 31 December 2023
,Bank Al Falah Limited,https://www.bankalfalah.com/personal-banking/cards/privileges-discounts/discounts,Travel,https://www.bankalfalah.com/wp-content/uploads/2022/11/Age-img.jpg,"Lahore, Karachi, Islamabad, Sialkot, Multan",,,,AEG Travel Services,,
,Dubai Islamic Bank,https://www.dib.ae/offers/card-offers?sub-category=all&search=all&category=all&city=all&offer-start=any&offer-end=any&count=19,Dining,https://www.dib.ae/images/default-source/offers/dinig/generic-270-x-151.jpg?sfvrsn=22667214_4,,,https://www.dib.ae/offers/offer-detail/freddys-restro-cafe,10% off on Total Bill,Freddy's Restro Cafe,,Valid till 31 December 2023
,Bank Al Falah Limited,https://www.bankalfalah.com/personal-banking/cards/privileges-discounts/discounts,Lifestyle,https://www.bankalfalah.com/personal-banking/cards/privileges-discounts/discounts,Nationwide,,,,Afghan Carpet,,
,Dubai Islamic Bank,https://www.dib.ae/offers/card-offers?sub-category=all&search=all&category=all&city=all&offer-start=any&offer-end=any&count=19,Dining,https://www.dib.ae/images/default-source/offers/dinig/generic-270-x-151.jpg?sfvrsn=22667214_4,,,https://www.dib.ae/offers/offer-detail/ambur-dum-biryani,15% off on Total Bill,Ambur Dum Biryani,,Valid till 31 December 2023
,Bank Al Falah Limited,https://www.bankalfalah.com/personal-banking/cards/privileges-discounts/discounts,Lifestyle,https://www.bankalfalah.com/wp-content/uploads/2019/05/Afrouzeh_s-1.png,Islamabad,,,,Afrouzeh,,
,Dubai Islamic Bank,https://www.dib.ae/offers/card-offers?sub-category=all&search=all&category=all&city=all&offer-start=any&offer-end=any&count=19,Dining,https://www.dib.ae/images/default-source/offers/dinig/270x151-chilis.jpg?sfvrsn=dff84a32_4,,"Visit your app store and download xperience with the ENTERTAINER App.Use your DIB Visa Card to get this offer, available only via the App xperience with the ENTERTAINER. Also unlock a range of amazing 2-for-1 deals at your favourite dining, beauty and fitness outlets.Sign up with your details.",https://www.dib.ae/offers/offer-detail/chili's,Get a taste of America with dishes the whole family will love at Chili's via the App xperience with the ENTERTAINER and your DIB Visa Card.,Chili's,"Not applicable on Public Holidays.Offer only applicable via xperience with the ENTERTAINER.Dine-in only.for more details on the xperience with the ENTERTAINER App and related offers.DIB Cards can only be used for Sharia compliant products and services.Offer is applicable on DIB Visa - Infinite, Signature and Platinum Cards.",Valid till 31 January 2023
,Dubai Islamic Bank,https://www.dib.ae/offers/card-offers?sub-category=all&search=all&category=all&city=all&offer-start=any&offer-end=any&count=19,Dining,https://www.dib.ae/images/default-source/offers/dinig/panorama.png?sfvrsn=cc0fbdbd_4,,,https://www.dib.ae/offers/offer-detail/panorama-café,15% off on Total Bill,Panorama Café,,Valid till 31 December 2023
